DESCRIPCION DE INSUMOS;CLASIFICACION;UNIDAD DE MEDIDA;STOCK 01/06/2026
BANQUETA RENAULT AMARILLA;Banquetas;UNIDAD;2
BANQUETA RENAULT NEGRA;Banquetas;UNIDAD;4
BANQUETA SIENA NEGRA;Banquetas;UNIDAD;6
BANQUETA TOLIX;Banquetas;UNIDAD;7
BANQUETA VENETO NEGRA BASE CROMO;Banquetas;UNIDAD;0
TABURETE MULTIMARCAS;Banquetas;UNIDAD;2
CALCO ACCESORIES TOTEM TRIUMPH;Calcomanias;UNIDAD;3
CALCO APPAREL TOTEM TRIUMPH;Calcomanias;UNIDAD;5
CALCO CORONA COMMUNITY WALL TRIUMPH;Calcomanias;UNIDAD;0
CALCO SERVICE RECEPTION;Calcomanias;UNIDAD;2
CALCO TSW 01 TRIUMPH;Calcomanias;UNIDAD;0
CALCO WELCOME DESK TWD;Calcomanias;UNIDAD;2
CALCOS TCHW 02 TRIUMPH;Calcomanias;UNIDAD;1
CALCOS TCHW TRIUMPH;Calcomanias;UNIDAD;0
VINILOS UV MATE CFMOTO;Calcomanias;UNIDAD;0
ATRIL JETOUR ;Estructura de hierro;UNIDAD;1
ATRIL TRIUMPH;Estructura de hierro;UNIDAD;21
BALDOSA LISAS CFMOTO ;Estructura de hierro;UNIDAD;29
BALDOSA SEMILLA DE MELON TARIMA CFMOTO;Estructura de hierro;UNIDAD;6
BASE MESA COWORKING RENAULT;Estructura de hierro;UNIDAD;0
BASE MESA DE CENTRO TST 01 TRIUMPH;Estructura de hierro;UNIDAD;1
BASE METALICA PUNTO ENCUENTRO RENAULT;Estructura de hierro;UNIDAD;0
BASE PLEGADA MESA CENTRO CHERY ;Estructura de hierro;UNIDAD;0
BASE PULPITO ;Estructura de hierro;UNIDAD;8
BASE SILLA TRINEO JE04;Estructura de hierro;UNIDAD;18
BASE Y CAÑO MANIQUI TRIUMPH;Estructura de hierro;UNIDAD;4
CHAPA PERFORADA ALUMINIO CF MOTO;Estructura de hierro;UNIDAD;0
CONTRAPESO ATRIL DE MADERA;Estructura de hierro;UNIDAD;55
ESTRUCTURA C08B MUEBLE DE ACCESORIOS CORVEN BAJAJ;Estructura de hierro;UNIDAD;1
ESTRUCTURA CB11 VITRINA DE REPUESTOS CORVEN BAJAJ;Estructura de hierro;UNIDAD;0
ESTRUCTURA EXTENSION RECEPCION CB03;Estructura de hierro;UNIDAD;1
ESTRUCTURA PORTA CASCOS MOTOS;Estructura de hierro;UNIDAD;1
ESTRUCTURA TORRE PORTA FOLLETOS;Estructura de hierro;UNIDAD;2
ESTRUCTURA VITRINA CFMOTO 1 X 2,10;Estructura de hierro;UNIDAD;0
ESTRUCTURA VITRINA TSC TRIUMPH TR29;Estructura de hierro;UNIDAD;0
GONDOLA TRIUMPH;Estructura de hierro;UNIDAD;2
JUEGO PATA CAÑO MESA RATONA CORVEN BAJAJ CB08;Estructura de hierro;UNIDAD;1
PANTALLA TAO43 TRIUMPH;Estructura de hierro;UNIDAD;0
PATA DE CAÑO ESCRITORIO 70 30;Estructura de hierro;UNIDAD;5
PATA DE MESA CHAPA CIRCULAR RENAULT RE001;Estructura de hierro;UNIDAD;3
PATA METALICA MULTIMARCAS MODULOS 420001-2;Estructura de hierro;UNIDAD;8
PATA WORK STATION JUEGO MULTIMARCAS DOBLE;Estructura de hierro;UNIDAD;0
PATA WORK STATION JUEGO MULTIMARCAS SIMPLE;Estructura de hierro;UNIDAD;0
SOPORTE MB01 TRIUMPH;Estructura de hierro;UNIDAD;68
SOPORTE MB04 TRIUMPH;Estructura de hierro;UNIDAD;76
SOPORTE MB20 TRIUMPH;Estructura de hierro;UNIDAD;21
SOPORTE MB22 TRIUMPH;Estructura de hierro;UNIDAD;8
TARIMA TRIUMPH PLEGADA;Estructura de hierro;UNIDAD;3
TOTEM HERO TRIUMPH;Estructura de hierro;UNIDAD;8
TOTEM TAO43 TRIUMPH;Estructura de hierro;UNIDAD;0
ACCESORIOS PORTA BLISTER;Herrajes;UNIDAD;0
ACCESORIOS PORTA CALZADO;Herrajes;UNIDAD;0
ANGULO ALUMINIO 25 MM X25 MM ;Herrajes;METRO LINEAL;2
BISAGRAS PARA VIDRIOS REDONDAS;Herrajes;UNIDAD;VER CON GERMAN
BISAGRAS PARA VIDRIOS CUADRADAS;Herrajes;UNIDAD;3
CAÑO PERCHERO OVAL CROMO;Herrajes;METRO LINEAL;3
CERRADURA COLECTIVA FRONTAL;Herrajes;UNIDAD;60
CERRADURA COLECTIVA LATERAL;Herrajes;UNIDAD;84
CERRADURA P/ PUERTA DE VIDRIO DOBLE;Herrajes;UNIDAD;19
CERRADURA P/ PUERTA DE VIDRIO SIMPLE;Herrajes;UNIDAD;15
CERRADURA TAMBOR FRONTAL;Herrajes;UNIDAD;40
LATERAL CHAPA HAFELE 40CM;Herrajes;UNIDAD;60
CORREDERA TELESCOPICA 300 X 45;Herrajes;UNIDAD;0
CORREDERA TELESCOPICA 350 X 45;Herrajes;UNIDAD;5
CORREDERA TELESCOPICA 350 X 45 PUSH;Herrajes;UNIDAD;0
KIT PUERTAS CORREDIZAS 1535 RUEDA MAS;Herrajes;UNIDAD;10
PASACABLE BOX155 NEGRO;Herrajes;UNIDAD;5
PASACABLE BOX240 WIRE;Herrajes;UNIDAD;9
